Store;DSM;Div;Mall;Address;City;State;Zip;Country;Phone
5034;6001;Claires;ALA MOANA CENTER;1450 ALA MOANA CENTER 3021;HONOLULU;HI;96814;USA;808 946 4199
5035;6011;Claires;PRESCOTT GATEWAY MALL;3250 GATEWAY BLVD  SPC 1046;PRESCOTT;AZ;86303;USA;928 442 0133
5041;4220;Claires;THE CROSSING @ SMITHFIELD;371 PUTNAM PIKE SUITE 510;SMITHFIELD;RI;02917;USA;401 232 2861
5042;5012;Claires;CIRCLE CENTRE;49 WEST MARYLAND STREET;INDIANAPOLIS;IN;46204;USA;317 423 9072
5044;6003;Claires;SILVERADO RANCH PLAZA;9731 EASTERN AVENUE #A9;LAS VEGAS;NV;89183;USA;702 269 6007
5045;5206;Claires;THE STREETS AT SOUTHPOINT;6702 FAYETTEVILLE ROAD #286;DURHAM;NC;27713;USA;919 544 8067
5046;5308;Claires;VERO BEACH OUTLETS;1745 94TH DR SPC D215;VERO BEACH;FL;32966;USA;772 778 9247
5048;5004;Claires;F.O. OF CHICAGO ROSEMONT;5220 ROSE ST SPC 1086;ROSEMONT;IL;60018;USA;847 233 9417
5049;7101;Claires;REDMOND TOWN CENTER;7325 166TH AVE NE STE. F122;REDMOND;WA;98052;USA;425 895 8091
5054;5303;Claires;THE FALLS SHOPPING CENTER;8888 SW 136 STREET;MIAMI;FL;33176;USA;305 259 4369
5055;4203;Claires;TOWN MALL OF WESTMINSTER;400 N CENTER ST #161;WESTMINSTER;MD;21157;USA;410 857 8216
5057;4328;Claires;SHOPS AT WILLOW LAWN;1601 WILLOW LAWN DR SPC A-6;RICHMOND;VA;23230;USA;804 282 1209
5058;5007;Claires;GENEVA COMMONS;1534 COMMONS DRIVE;GENEVA;IL;60134;USA;630 232 2707
5059;7015;Claires;RIVERDALE VILLAGE;12786 RIVERDALE BLVD;COON RAPIDS;MN;55448;USA;763 712 8326
5060;5310;Claires;THE SHOPPES AT EASTCHASE;6828 EAST CHASE PARKWAY;MONTGOMERY;AL;36117;USA;334 356 2860
5063;5210;Claires;PERIMETER MALL;4400 ASHFORD DUNWOODY ROAD;ATLANTA;GA;30346;USA;770 677 0313
5065;4219;Claires;MERRIMACK PREMIUM OUTLETS;80 PREMIUM OUTLETS BLVD #355;MERRIMACK;NH;03054;USA;603 424 4420
5069;5206;Claires;TRIANGLE TOWN CENTER;5959 TRIANGLE TOWN BLVD EU2137;RALEIGH;NC;27616;USA;919 792 2092
5071;7209;Claires;COLORADO MILLS;14500 W. COLFAX UNIT #489;LAKEWOOD;CO;80401;USA;303 278 6338
5073;5210;Claires;OUTLET SHOPPES AT ATLANTA;I-75 AT RIDGEWALK PKWY #E505;WOODSTOCK;GA;30188;USA;770 591 0660
5074;7208;Claires;STATION PARK;877 W EAST PROMONTORY SPC-H105;FARMINGTON;UT;84025;USA;801 451 0440
5078;7016;Claires;EAGAN PROMENADE;3324 PROMENADE AVE;EAGAN;MN;55121;USA;651 994 9382
5079;4121;Claires;VOICE OF AMERICA CENTRE;7586 VOICE OF AMERICA CTR DR;WEST CHESTER;OH;45069;USA;513 755 3765
5080;4315;Claires;FULTON STREET;523 FULTON STREET;BROOKLYN;NY;11201;USA;718 858 4596
5083;5310;Claires;PARKWAY PLACE MALL;2801 MEMORIAL PARKWAY SOUTH;HUNTSVILLE;AL;35801;USA;256 534 5924
5084;4122;Claires;CHILLICOTHE MALL;1075 N BRIDGE ST;CHILLICOTHE;OH;45601;USA;740 773 8677
5085;4328;Claires;SHORT PUMP TOWN CENTER;11800 WEST BROAD ST;RICHMOND;VA;23233;USA;804 360 5912
5087;6008;Claires;BALDWIN HILLS CRENSHAW PI;3650 M LUTHER KING BLVD #237;LOS ANGELES;CA;90008;USA;323 291 1812
5090;4105;Claires;TANGER O.C. WEST BRANCH;2990 COOK ROAD SUITE #127B;WEST BRANCH;MI;48661;USA;989 343 0519
5091;7209;Claires;DENVER PAVILIONS;600 16TH STREET  #134;DENVER;CO;80202;USA;303 893 6956
5094;4105;Claires;THE VILLAGE-ROCHESTER;124 NORTH ADAMS ROAD;ROCHESTER HILLS;MI;48309;USA;248 375 5869
5096;4125;Claires;FORT STEUBEN MALL;100 MALL DRIVE A-3;STEUBENVILLE;OH;43952;USA;740 264 5131
5101;6207;Claires;LAKESIDE SHOPPING CENTER;3301 VETERANS MEMORIAL BLVD;METAIRIE;LA;70002;USA;504 831 7967
5106;5205;Claires;FORUM ON PEACHTREE PKWAY;5135 PEACHTREE PKWY;NORCROSS;GA;30092;USA;770 447 9941
5111;5005;Claires;VALPARAISO MARKETPLACE;2620 LAPORTE AVE;VALPARAISO;IN;46383;USA;219 531 1517
5112;5202;Claires;TANGER O.C. MYRTLE BEACH;10843 KINGS ROAD;MYRTLE BEACH;SC;29572;USA;843 449 8287
5113;4123;Claires;SOUTHSIDE WORKS;411 CINEMA DRIVE SPC C222;PITTSBURGH;PA;15203;USA;412 381 0378
5115;7103;Claires;5TH AVENUE MALL;320 W 5TH AVENUE #148;ANCHORAGE;AK;99501;USA;907 272 5869
5117;6113;Claires;COPPERWOOD VILLAGE S.C.;6581 HIGHWAY 6 NORTH;HOUSTON;TX;77084;USA;281 550 5990
5118;4108;Claires;OUTLETS SHOPPES AT FREMONT;6245 N, OLD 27;FREMONT;IN;46737;USA;260 833 8699
5119;7206;Claires;LEWISTON MALL;1808 19TH AVENUE SPC# 1808D;LEWISTON;ID;83501;USA;208 746 7008
5122;7014;Claires;CROSSROADS CENTER -ST. CLOUD;4101 W DIVISION STREET #B001;ST.CLOUD;MN;56301;USA;320 252 7816
5124;7017;Claires;WESTROADS MALL;156 WESTMINSTER MALL;OMAHA;NE;68114;USA;402 393 1424
5126;4124;Claires;CHAPEL HILL S.C.;2000 BRITTAIN RD., SUITE 340;AKRON;OH;44310;USA;330 633 7477
5127;7206;Claires;HOLIDAY VILLAGE MALL;1200 10TH AVE SOUTH;GREAT FALLS;MT;59405;USA;406 761 7541
5129;5004;Claires;YORKTOWN SHOPPING CENTER;148 YORKTOWN SHOPPING CENTER;LOMBARD;IL;60148;USA;630 629 7444
5130;5012;Claires;MARKLAND MALL;1158 SOUTH 17TH STREET;KOKOMO;IN;46902;USA;765 459 5992
5133;4203;Claires;PARK CITY CENTER;640 PARK CITY CENTER;LANCASTER;PA;17601;USA;717 299 2231
5137;5215;Claires;BASKIN SQUARE;631 PARKWAY;GATLINBURG;TN;37738;USA;865 436 5949
5138;5208;Claires;COOLSPRINGS GALLERIA;1800 GALLERIA BLVD  SPC 5060;FRANKLIN;TN;37067;USA;615 771 7341
5141;4108;Claires;WOODLAND-GRAND RAPIDS;3195 28TH STREET #H102;KENTWOOD;MI;49512;USA;616 949 2710
5142;5010;Claires;CROSS COUNTY MALL;700 BROADWAY EAST;MATTOON;IL;61938;USA;217 234 3166
5146;7014;Claires;WEST ACRES SHOPPING CTR.;3902 13TH AVE S #306;FARGO;ND;58103;USA;701 282 3750
5147;7017;Claires;PLATTE RIVER MALL;1100 SOUTH DEWEY  SPACE 60;NORTH PLATTE;NE;69101;USA;308 534 3290
5148;6210;Claires;CENTRAL MALL;5111 ROGERS AVE SUITE 27;FORT SMITH;AR;72903;USA;479 452 3291
5149;5007;Claires;NORTHWOOD MALL-PEORIA;2200 W. MEMORIAL DRIVE;PEORIA;IL;61613;USA;309 688 0211
5150;4204;Claires;PHILADELPLHIA PREM.OUTLET;18 LIGHT CAP ROAD  SPC #1063;POTTSTOWN;PA;19464;USA;610 327 4584
5151;4125;Claires;SOUTHERN PARK MALL;7401 MARKET ST., RM 283;YOUNGSTOWN;OH;44512;USA;330 758 6036
5152;5012;Claires;CASTLETON SQUARE;6020 E. 82ND ST, SUITE 138;INDIANAPOLIS;IN;46250;USA;317 849 5168
5154;4124;Claires;BELDEN VILLAGE;4336 BELDEN VILLAGE MALL;CANTON;OH;44718;USA;330 494 6644
5155;4107;Claires;WESTWOOD MALL;1728 MICHIGAN;JACKSON;MI;49202;USA;517 782 1920
5158;5002;Claires;SOUTHRIDGE GREENDALE;5300 S. 76TH STREET SPC # 580;GREENDALE;WI;53129;USA;414 421 4330
5159;5007;Claires;EASTLAND-BLOOMINGTON;1615 E. EMPIRE STREET SP #1365;BLOOMINGTON;IL;61701;USA;309 663 4922
5161;5007;Claires;NORTHLAND-STERLING;2900 E. LINCOLN HWY;STERLING;IL;61081;USA;815 626 4912
5163;4108;Claires;CONCORD MALL;3701 S. MAIN STREET;ELKHART;IN;46517;USA;574 875 7725
5164;4217;Claires;THE SHOPPS @ BLACKSTONE;70 WORCHESTER PROVIDENCE;MILLBURY;MA;01527;USA;508 865 6626
5166;4218;Claires;DERBY STREET SHOPPES;94 DERBY STREET;HINGHAM;MA;02043;USA;781 749 0619
5168;7017;Claires;CONESTOGA MALL;3404 W. 13TH STREET;GRAND ISLAND;NE;68803-2383;USA;308 384 4113
5171;4204;Claires;EXTON SQUARE;100 EXTON SQUARE   SPC 257;EXTON;PA;19341;USA;610 363 1084
5174;5007;Claires;CHERRYVALE MALL;7200 HARRISON AVENUE #H42B;ROCKFORD;IL;61112;USA;815 332 4058
5175;5010;Claires;HONEY CREEK MALL;3401 SOUTH US 41  STE J27;TERRE HAUTE;IN;47802;USA;812 231 8677
5176;5010;Claires;TIPPECANOE MALL;2415 SAGAMORE PKWY # A-10A;LAFAYETTE;IN;47905;USA;765 447 6732
5177;5001;Claires;JANESVILLE MALL;2500 MILTON AVENUE;JANESVILLE;WI;53545;USA;608 756 3851
5180;6212;Claires;INDEPENDENCE CENTER;18813 E 39TH STREET SUITE L10;INDEPENDENCE;MO;64057;USA;816 795 0448
5181;7015;Claires;MAPLEWOOD MALL;3001 WHITE BEAR AVE N STE 2050;MAPLEWOOD;MN;55109;USA;651 770 3658
5183;4105;Claires;WATERSIDE MARKETPLACE;50607 WATERSIDE DRIVE;CHESTERFIELD TWNSHP;MI;48051;USA;586 949 0730
5184;5004;Claires;WST-FOX VALLEY;2069 FOX VALLEY CENTER #C-11;AURORA;IL;60504;USA;630 898 5221
5186;5010;Claires;SHOPS AT PERRY CROSSING;2498 PERRY CROSSING WAY #150;PLAINFIELD;IN;46168;USA;317 839 2440
5190;7209;Claires;TOWN CENTER @ AURORA;14200 E.ALAMEDA AVE. SP#1037A;AURORA;CO;80012;USA;303 364 4489
5191;5007;Claires;CHICAGO PREMIUM OUTLETS;1650 PREMIUM OUTLET BLVD #1141;AURORA;IL;60502;USA;630 499 5011
5192;7103;Claires;OLD MILL DIST @ RIVER BEND;450 SW POWERHOUSE DRIVE;BEND;OR;97702-1387;USA;541 382 6944
5193;6210;Claires;SOONER MALL;3443 W. MAIN STREET;NORMAN;OK;73072;USA;405 364 4631
5194;4107;Claires;SHOPS AT FALLEN TIMBERS;3100 MAIN STREET SPC # 1118;MAUMEE;OH;43537;USA;419 878 2973
5197;6110;Claires;SIKES CENTER;3111 MIDWESTERN PARKWAY;WICHITA FALLS;TX;76308;USA;940 692 7292
5198;5002;Claires;NORTHBROOK COURT;2242 NORTHBROOK COURT;NORTHBROOK;IL;60062;USA;847 272 5198
5199;4203;Claires;HUNT VALLEY TOWNE CENTRE;118 SHAWAN ROAD;HUNT VALLEY;MD;21030;USA;410 329 9510
5200;6214;Claires;WEST COUNTY;107 WEST COUNTY MALL  SPC 2205;DES PERES;MO;63131;USA;314 909 9835
5203;6010;Claires;SOUTHBAY PAVILION;20700 S AVALON F-16;CARSON;CA;90746;USA;310 715 2840
5205;6006;Claires;IRVINE SPECTRUM CENTER;741 SPECTRUM CENTER DRIVE;IRVINE;CA;92618;USA;949 453 0338
5206;5010;Claires;TOWN FAIR CENTER;1206 JAMES AVENUE;BEDFORD;IN;47421;USA;812 278 3107
5207;4213;Claires;COLONIE CENTER;1417 CENTRAL AVE SPC H-7;ALBANY;NY;12205;USA;518 459 8584
5208;4108;Claires;GREEN RIDGE SQUARE;3286A ALPINE AVE NW SPC 119;WALKER;MI;49544;USA;616 647 8631
5211;4122;Claires;MIAMI VALLEY CENTRE MALL;987 EAST ASH STREET #102;PIQUA;OH;45356;USA;937 773 2109
5212;7108;Claires;SAND CREEK CROSSING;2440 SAND CREEK ROAD;BRENTWOOD;CA;94513-7062;USA;925 240 0681
5214;6201;Claires;MAIN STREET;911 HWY 12 WEST;STARKVILLE;MS;39759;USA;662 615 1739
5215;6207;Claires;THE ESPLANADE;1401 W. ESPLANADE, SP.# 711;KENNER;LA;70065;USA;504 464 9432
5217;7103;Claires;DIMOND CENTER;800 EAST DIMOND BLVD #176;ANCHORAGE;AK;99515;USA;907 344 3427
5218;6003;Claires;LAUGHLIN OUTLET CENTER;1955 S. CASINO DR. SPACE #246;LAUGHLIN;NV;89029;USA;702 299 1068
5219;7211;Claires;ASPEN GROVE;7301 S. SANTA FE DR SPC G3;LITTLETON;CO;80120;USA;720 283 7322
5221;4308;Claires;BOULEVARD AT CAPITAL CTR.CTR;901 A CAPITAL CENTER BLVD;LARGO;MD;20785;USA;301 333 5130
5225;6112;Claires;MEYERLAND PLAZA;394 MEYERLAND PLAZA MALL;HOUSTON;TX;77096;USA;832 778 9100
5226;6007;Claires;HEMET VALLEY MALL;2200 W FLORIDA AVE #325;HEMET;CA;92545;USA;951 652 4081
5228;5304;Claires;TOWER SHOPS CENTER;2044 S.UNIVERSITY DRIVE;DAVIE;FL;33324;USA;954 382 3633
5229;4210;Claires;THE MALL @ GREECE RIDGE;460 GREECE RIDGE CENTER SPC;ROCHESTER;NY;14626;USA;585 227 6741
5231;5009;Claires;VALLEY WEST MALL;1551 VALLEY WEST DRIVE;W. DES MOINES;IA;50266;USA;515 223 5231
5233;6211;Claires;WOODLAND HILLS -TULSA;7021 SOUTH MEMORIAL, SUITE 222;TULSA;OK;74133;USA;918 252 5244
5235;5010;Claires;WHITE OAKS MALL;253 WHITE OAKS S.C. SPC #D07A;SPRINGFIELD;IL;62704;USA;217 787 9535
5236;4302;Claires;141 EAST BROAD STREET;141 EAST BROAD STREET;WESTFIELD;NJ;07090;USA;908 317 9157
5237;5010;Claires;MARKET PLACE MALL;2000 N. NEIL STREET;CHAMPAIGN;IL;61820;USA;217 359 3305
5238;5005;Claires;ORLAND SQUARE S.C.;202 ORLAND SQUARE DRIVE;ORLAND PARK;IL;60462;USA;708 349 8989
5240;6209;Claires;TOWNE EAST SQUARE;7700 EAST KELLOGE;WICHITA;KS;67207;USA;316 684 7812
5241;4204;Claires;MONTGOMERY MALL;236 MONTGOMERY MALL;NORTH WALES;PA;19454;USA;215 362 0855
5242;4123;Claires;WESTMORELAND MALL;5256 ROUTE 30 SPC 219;GREENSBURG;PA;15601;USA;724 836 2663
5243;4302;Claires;ROCKAWAY TOWN SQUARE;ROUTE 80 & MT.HOPE ROAD-#2046;ROCKAWAY;NJ;07866;USA;973 361 4038
5244;5214;Claires;JEFFERSON MALL;4801 OUTERLOOP RD.SPC# B-316;LOUISVILLE;KY;40219;USA;502 966 5244
5245;4108;Claires;UNIVERSITY PARK MALL;6501 NORTH GRAPE, ROOM 312;MISHAWAKA;IN;46545;USA;574 272 6723
5248;6206;Claires;LONGVIEW MALL;3500 MCCANN ROAD SPC # H-09A;LONGVIEW;TX;75605;USA;903 753 9581
5249;4327;Claires;FRANCIS SCOTT KEY MALL;5500 BUCKEYS TOWN PIKE #268;FREDERICK;MD;21703;USA;301 663 6544
5251;6006;Claires;THE VILLAGE AT ORANGE;2235 NORTH ORANGE MALL;ORANGE;CA;92868;USA;714 974 9808
5252;6110;Claires;NORTH EAST MALL;1101 MELBOURNE ROAD, STE.3008;HURST;TX;76053;USA;817 284 3552
5254;5010;Claires;ALTON SQUARE;129 ALTON SQUARE SHOPPING CTR.;ALTON;IL;62002;USA;618 462 7881
5255;5311;Claires;EDGEWATER MALL;2600 BEACH BLVD. SPACE #10;BILOXI;MS;39531;USA;228 388 2304
5256;4204;Claires;WYOMING VALLEY MALL;SPACE #2 WYOMING VALLEY MALL;WILKES BARRE;PA;18702;USA;570 824 2335
5258;5010;Claires;HICKORY POINT MALL;SPACE #1310;FORSYTH;IL;62535;USA;217 875 3793
5259;5207;Claires;VALLEY HILLS MALL;1960 HIGHWAY 64-70 S.E.;HICKORY;NC;28602;USA;828 328 8330
5260;5010;Claires;QUINCY MALL;3340 QUINCY MALL;QUINCY;IL;62301;USA;217 224 8304
5262;5007;Claires;LOUIS JOLIET;1226 LOUIS JOLIET MALL;JOLIET;IL;60435;USA;815 439 1031
5264;7016;Claires;THE EMPIRE MALL;700 W. EMPIRE;SIOUX FALLS;SD;57106;USA;605 361 3050
5265;6111;Claires;RICHLAND MALL;6001 W. WACO DRIVE, SPC 16-B;WACO;TX;76710;USA;254 776 4518
5266;4203;Claires;LOGAN VALLEY MALL;5580 GOODS LANE SUITE 2149;ALTOONA;PA;16602;USA;814 946 4929
5267;5012;Claires;GREENWOOD PARK MALL;1251 U.S. 31 NORTH;GREENWOOD;IN;46142;USA;317 888 5653
5268;5214;Claires;TOWNE SQUARE MALL;5000 FREDRICKA ST., SUITE 54;OWENSBORO;KY;42301;USA;270 685 3267
5269;5007;Claires;PERU MALL;3940 ROUTE 251  SPC #B16;PERU;IL;61354;USA;815 223 0275
5270;7211;Claires;RUSHMORE MALL;2200 N. MAPLE;RAPID CITY;SD;57701;USA;605 342 1378
5272;4315;Claires;181ST STREET;658 W 181ST STREET;NEW YORK;NY;10033;USA;212 568 6213
5273;5206;Claires;HANES MALL;3320 SILAS CREEK PKWY-STE 220;WINSTON-SALEM;NC;27103;USA;336 768 2104
5275;7017;Claires;SOUTHERN HILLS MALL;4400 SERGEANT RD. SPC # 234;SIOUX CITY;IA;51106;USA;712 276 1246
5276;5208;Claires;GREENWOOD-BOWLING GREEN;2625 SCOTTSVILLE ROAD;BOWLING GREEN;KY;42101;USA;270 842 3794
5278;7014;Claires;DAKOTA SQUARE;2400 TENTH ST. S.W.;MINOT;ND;58701;USA;701 839 5278
5279;4123;Claires;CENTURY III MALL;3075 CLAIRTON RD., RM. 608;WEST MIFFLIN;PA;15123;USA;412 653 6633
5280;7014;Claires;KIRKWOOD MALL;832 KIRKWOOD PLAZA SHOPP. CTR.;BISMARCK;ND;58504;USA;701 258 1752
5281;4121;Claires;THE GREENE;76 CHESTNUT STREET;BEAVERCREEK;OH;45440;USA;937 320 9447
5284;5202;Claires;MAGNOLIA MALL;2701 W. DAVID MCLEOD BLVD.;FLORENCE;SC;29501;USA;843 667 4816
5285;6214;Claires;SOUTH COUNTY;303 SOUTH COUNTY CENTER;ST. LOUIS;MO;63129;USA;314 894 1109
5286;4107;Claires;MERIDIAN MALL;1982.E GRAND RIVER #345;OKEMOS;MI;48864;USA;517 349 5278
5287;6109;Claires;GATEWAY STATION;1169 N BURLESON BLVD STE 105;BURLESON;TX;76028;USA;817 426 0745
5288;4121;Claires;EASTGATE MALL;4601/540 EASTGATE BLVD. #556;CINCINNATI;OH;45245;USA;513 752 6168
5289;5215;Claires;WALNUT SQUARE MALL;816 WALNUT SQUARE BLVD;DALTON;GA;30721;USA;706 226 1508
5291;4203;Claires;LYCOMING MALL;300 LYCOMING MALLCIRCLE STE196;PENNSDALE;PA;17756;USA;570 546 7362
5292;6110;Claires;GOLDEN TRIANGLE MALL;2201 I35E S.    L-16;DENTON;TX;76205;USA;940 566 6012
5293;4122;Claires;COLONY SQUARE MALL;3575 N. MAPLE #68;ZANESVILLE;OH;43701;USA;740 453 5162
5294;4324;Claires;NEWBURGH MALL;1401 ROUTE 300;NEWBURGH;NY;12550;USA;845 564 0190
5295;4108;Claires;THE CROSSROADS-PORTAGE;6650 S. WESTNEDGE, SPACE 130A;PORTAGE;MI;49024;USA;269 323 0188
5296;5214;Claires;UNIVERSITY-CARBONDALE;1237 E. MAIN;CARBONDALE;IL;62901;USA;618 529 3155
5297;6006;Claires;DISTRICT AT TUSTIN LEGACY;2421 PARK AVE SPC# 312;TUSTIN;CA;92782;USA;714 258 8865
5298;5004;Claires;SPRING HILL MALL;1568 SPRING HILL MALL;WEST DUNDEE;IL;60118;USA;847 428 5299
5299;6209;Claires;TOWNE WEST SQUARE;4600 W. KELLOGG ROAD #R12B;WICHITA;KS;67209;USA;316 942 4076
5300;4210;Claires;ARNOT MALL;3300 CHAMBERS ROAD SUITE 5012;HORSEHEADS;NY;14845;USA;607 796 9375
5301;5001;Claires;BAY PARK SQUARE;303 BAY PARK SQUARE SHOP. CNTR;GREEN BAY;WI;54304;USA;920 498 2852
5302;4328;Claires;SPOTSYLVANIA TOWNE CENTRE;110 SPOTSYLVANIA MALL DR.;FREDERICKSBURG;VA;22407;USA;540 786 6138
5303;4327;Claires;HUNTINGTON MALL;642 HUNTINGTON MALL;BARBOURSVILLE;WV;25504;USA;304 733 0736
5304;5009;Claires;CROSSROADS-FORT DOGDE;5TH AVENUE SOUTH;FORT DODGE;IA;50501;USA;515 955 5374
5305;5202;Claires;SUMTER MALL;1057-56 BROAD STREET;SUMTER;SC;29150;USA;803 773 4852
5306;4203;Claires;NITTANY MALL;2901 E. COLLEGE AVE;STATE COLLEGE;PA;16801;USA;814 234 7239
5307;5005;Claires;FORD CITY SHOPPING CENTER;7601 S. CICERO AVENUE;CHICAGO;IL;60652;USA;773 582 5310
5310;4326;Claires;WST-ANNAPOLIS;1665 ANNAPOLIS MALL  #62;ANNAPOLIS;MD;21401;USA;410 266 5305
5311;4125;Claires;EASTWOOD MALL COMPLEX;5555 YOUNGSTWN-WARREN RD #424;NILES;OH;44446;USA;330 652 2230
5312;4218;Claires;WAREHAM CROSSING;2421 CRANBERRY HWY  SPC #414;WAREHAM;MA;02571;USA;508 291 3069
5314;6107;Claires;KILLEEN MALL;2100 S.W.S. YOUNG DR.;KILLEEN;TX;76543;USA;254 699 9695
5315;6214;Claires;WEST PARK MALL;3049 ROUTE K;CAPE GIRARDEAU;MO;63701;USA;573 335 5396
5316;5012;Claires;GLENBROOK SQUARE;4201 COLDWATER RD. SPC #H2;FORT WAYNE;IN;46805;USA;260 484 7467
5318;6106;Claires;VICTORIA MALL;7800 HALLETTSVILLE HGWY.;VICTORIA;TX;77904;USA;361 573 4461
5319;5010;Claires;COLLEGE MALL;2842 E. 3RD STREET # F14;BLOOMINGTON;IN;47401;USA;812 334 2680
5320;6107;Icing;BARTON CREEK SQUARE MALL;2901 CAPITOL OF TEXAS HIGHWAY;AUSTIN;TX;78746;USA;512 327 3141
5322;5002;Claires;REGENCY MALL;5856 DURAND AVENUE #A120;RACINE;WI;53406;USA;262 554 0793
5323;5202;Claires;CITADEL MALL;2070 SAM RITTENBERG BLVD #732;CHARLESTON;SC;29407;USA;843 763 0385
5325;4324;Claires;HUDSON VALLEY MALL;1300 ULSTER AVENUE;KINGSTON;NY;12401;USA;845 336 7925
5326;4107;Claires;LANSING MALL;5222 W. SAGINAW HGWY. #236;LANSING;MI;48917;USA;517 323 4347
5328;5004;Claires;THE PROMENADE BOLINGBROOK;623 EAST BOUGHTON ROAD;BOLINGBROOK;IL;60440;USA;630 739 2042
5330;5214;Claires;EASTLAND-EVANSVILLE;800 N. GREEN RIVER RD. #150;EVANSVILLE;IN;47715;USA;812 473 5330
5331;7211;Claires;CHAPEL HILLS MALL;1710 BRIARGATE BLVD., #333;COLORADO SPRINGS;CO;80920;USA;719 593 9993
5332;4210;Claires;SANGERTOWN SQUARE;8555 SENECA TURNPIKE SPC L04;NEW HARTFORD;NY;13413;USA;315 724 0147
5334;7015;Claires;VALLEY VIEW-LA CROSSE;3800 U.S. HIGHWAY 16 #175;LA CROSSE;WI;54601;USA;608 781 5334
5335;4327;Claires;MEADOWBROOK MALL;2630 MEADOWBROOK ROAD;BRIDGEPORT;WV;26330;USA;304 842 6833
5336;4327;Claires;APPLE BLOSSOM MALL;1850 APPLE BLOSSOM DRIVE #N133;WINCHESTER;VA;22601;USA;540 665 0716
5337;5004;Claires;WOODFIELD MALL;F322 WOODFIELD MALL;SCHAUMBURG;IL;60173;USA;847 240 0050
5340;5001;Claires;WAUSAU CENTER;A-152 WAUSAU CENTER;WAUSAU;WI;54403;USA;715 848 3452
5341;4210;Claires;THE MARKETPLACE;710 MIRACLE MILE DRIVE;ROCHESTER;NY;14623;USA;585 475 1412
5342;4108;Claires;LAKEVIEW SQUARE;5775 BECKLEY RD;BATTLE CREEK;MI;49015;USA;269 979 4244
5343;4107;Claires;SANDUSKY MALL;4314 MILAN ROAD SPC 155;SANDUSKY;OH;44870;USA;419 625 2776
5344;4124;Claires;CARNATION MALL;2500 W.STATE ST.;ALLIANCE;OH;44601;USA;330 823 5344
5345;4327;Claires;CHARLESTON TOWN CTR MALL;1009 CHARLESTON TOWN CENTER;CHARLESTON;WV;25389;USA;304 343 2061
5346;5214;Claires;GREEN TREE MALL;757 E LEWIS & CLARK PKY #220;CLARKSVILLE;IN;47129;USA;812 284 5346
5348;4124;Claires;OHIO VALLEY MALL;67800 MALL ROAD;ST. CLAIRSVILLE;OH;43950;USA;740 695 5348
5349;4306;Claires;WILLOW GROVE PARK;2500 MORELAND RD. SPC # 1116;WILLOW GROVE;PA;19090;USA;215 659 7499
5350;7211;Claires;SOUTHWEST PLAZA;8501 W. BOWLES AVENUE #2042;LITTLETON;CO;80123;USA;303 973 7794
5351;6212;Claires;LEGENDS OUTLETS KANSAS CITY;1843 VILLAGE WEST PARKWAY;KANSAS CITY;KS;66111;USA;913 788 7584
5352;6210;Claires;OAKWOOD MALL-ENID;4125 WEST GARRIOTT RD SP# E-09;ENID;OK;73703;USA;580 233 9821
5353;5214;Claires;FAYETTE MALL;3401 NICHOLASVILLE RD. #G-176;LEXINGTON;KY;40503;USA;859 245 7042
5356;4324;Claires;JEFFERSON VALLEY MALL;650 LEE BLVD;YORKTOWN HGTS.,;NY;10598;USA;914 245 8184
5357;5210;Claires;THE AVENUE WEST COBB;3625 DALLAS HWY SW;MARIETTA;GA;30064;USA;770 420 0556
5358;6104;Claires;ANIMAS VALLEY MALL;4601 E. MAIN STREET #860;FARMINGTON;NM;87402;USA;505 326 1445
5359;5009;Claires;LINDALE MALL;4444 FIRST AVE N.E. SP #0115;CEDAR RAPIDS;IA;52402;USA;319 393 8858
5365;6105;Claires;VALLE VISTA MALL;2000 S EXPRESSWAY 83;HARLINGEN;TX;78552;USA;956 421 3141
5366;6214;Claires;ST. LOUIS P.O.;18527 OUTLETS BLVD SPC739;CHESTERFIELD;MO;63005;USA;636 778 1020
5368;5215;Claires;COL.PINN @ TURKEY CREEK;11371 PARKSIDE DRIVE;KNOXVILLE;TN;37934;USA;865 671 6250
5369;5303;Claires;MIAMI INTERNATIONAL;1455 NORTHWEST 107TH AVENUE;MIAMI;FL;33172;USA;305 592 1232
5370;5309;Claires;ORANGE PARK MALL;1910 WELLS ROAD;ORANGE PARK;FL;32073;USA;904 264 0392
5371;5215;Claires;KNOXVILLE CENTER;3001 KNOXVILLE CENTER RD #1250;KNOXVILLE;TN;37924;USA;865 544 1535
5372;4315;Claires;THE SHOPS AT ATLAS PARK;8040 COOPER AVENUE   SPC6110;GLENDALE;NY;11385;USA;718 416 1270
5373;5311;Claires;GULFPORT PREMIUM OUTLETS;10130 FACTORY SHOPS BLVD.;GULFPORT;MS;39503;USA;228 864 4556
5374;7210;Claires;GREELEY MALL;2072 GREELEY AVENUE SPACE 50A;GREELEY;CO;80631;USA;970 356 0303
5376;7211;Claires;THE CITADEL;750 CITADEL DRIVE EAST;COLORADO SPRINGS;CO;80909;USA;719 596 5376
5377;5001;Claires;FOX RIVER MALL;4301 WEST WISCONSIN AVE #506;APPLETON;WI;54913;USA;920 731 4386
5383;7015;Claires;KANDI MALL;1605 S 1ST. STREET #C-14;WILLMAR;MN;56201;USA;320 235 6752
5384;5206;Claires;PIEDMONT MALL;325 PIEDMONT DRIVE;DANVILLE;VA;24540;USA;434 799 8190
